# timestamp, linear_acceleration.x, linear_acceleration.y, linear_acceleration.z, angular_velocity.x, angular_velocity.y, angular_velocity.z
1.896474962000000097e+00,5.149999856948852539e-01,8.799999952316284180e-02,-8.682999610900878906e+00,-4.100000113248825073e-02,-1.299999952316284180e-01,-5.999999865889549255e-02
1.896508610000000150e+00,5.149999856948852539e-01,8.799999952316284180e-02,-8.682999610900878906e+00,-4.100000113248825073e-02,-1.299999952316284180e-01,-5.999999865889549255e-02
1.907632129000000010e+00,-6.679999828338623047e-01,-2.199999988079071045e-02,-1.052099990844726562e+01,-3.400000184774398804e-02,6.700000166893005371e-02,2.800000086426734924e-02
1.916342759000000173e+00,-6.679999828338623047e-01,-2.199999988079071045e-02,-1.052099990844726562e+01,-3.400000184774398804e-02,6.700000166893005371e-02,2.800000086426734924e-02
1.924488129000000214e+00,9.649999737739562988e-01,6.970000267028808594e-01,-7.821000099182128906e+00,-5.000000074505805969e-02,-1.400000043213367462e-02,1.000000047497451305e-03
1.936137851000000021e+00,9.649999737739562988e-01,6.970000267028808594e-01,-7.821000099182128906e+00,-5.000000074505805969e-02,-1.400000043213367462e-02,1.000000047497451305e-03
1.944152796000000016e+00,1.304999947547912598e+00,1.120000034570693970e-01,-1.144099998474121094e+01,-1.200000010430812836e-02,4.600000008940696716e-02,1.040000021457672119e-01
1.956286592000000102e+00,1.304999947547912598e+00,1.120000034570693970e-01,-1.144099998474121094e+01,-1.200000010430812836e-02,4.600000008940696716e-02,1.040000021457672119e-01
1.968680425000000067e+00,1.123000025749206543e+00,-6.489999890327453613e-01,-8.640000343322753906e+00,3.000000026077032089e-03,-6.499999761581420898e-02,1.049999967217445374e-01
1.977147944000000157e+00,8.790000081062316895e-01,2.460000067949295044e-01,-9.248000144958496094e+00,-6.000000052154064178e-03,8.999999612569808960e-03,1.529999971389770508e-01
1.994859258000000191e+00,8.790000081062316895e-01,2.460000067949295044e-01,-9.248000144958496094e+00,-6.000000052154064178e-03,8.999999612569808960e-03,1.529999971389770508e-01
2.020584240000000253e+00,8.790000081062316895e-01,2.460000067949295044e-01,-9.248000144958496094e+00,-6.000000052154064178e-03,8.999999612569808960e-03,1.529999971389770508e-01
2.030453721000000211e+00,7.540000081062316895e-01,-2.750000059604644775e-01,-1.056000041961669922e+01,5.299999937415122986e-02,-1.000000047497451305e-03,9.999999776482582092e-03
2.043089740000000099e+00,7.540000081062316895e-01,-2.750000059604644775e-01,-1.056000041961669922e+01,5.299999937415122986e-02,-1.000000047497451305e-03,9.999999776482582092e-03
2.052226666000000144e+00,-1.599999964237213135e-01,-1.251999974250793457e+00,-6.451000213623046875e+00,1.799999922513961792e-02,2.500000037252902985e-02,3.500000014901161194e-02
2.056247166000000348e+00,-1.599999964237213135e-01,-1.251999974250793457e+00,-6.451000213623046875e+00,1.799999922513961792e-02,2.500000037252902985e-02,3.500000014901161194e-02
2.070960481000000186e+00,1.889999955892562866e-01,-1.319999992847442627e-01,-1.005200004577636719e+01,2.099999971687793732e-02,-5.600000172853469849e-02,-5.200000107288360596e-02
2.077354018000000302e+00,1.889999955892562866e-01,-1.319999992847442627e-01,-1.005200004577636719e+01,2.099999971687793732e-02,-5.600000172853469849e-02,-5.200000107288360596e-02
2.088291370000000313e+00,5.339999794960021973e-01,2.460000067949295044e-01,-1.140200042724609375e+01,2.600000053644180298e-02,-8.999999612569808960e-03,-3.200000151991844177e-02
2.097039740000000041e+00,5.339999794960021973e-01,2.460000067949295044e-01,-1.140200042724609375e+01,2.600000053644180298e-02,-8.999999612569808960e-03,-3.200000151991844177e-02
2.104356609999999961e+00,3.099999949336051941e-02,5.289999842643737793e-01,-8.932000160217285156e+00,1.400000043213367462e-02,-3.000000026077032089e-03,-5.200000107288360596e-02
2.113795980999999991e+00,3.099999949336051941e-02,5.289999842643737793e-01,-8.932000160217285156e+00,1.400000043213367462e-02,-3.000000026077032089e-03,-5.200000107288360596e-02
2.124348869999999945e+00,-5.910000205039978027e-01,6.869999766349792480e-01,-7.605000019073486328e+00,3.400000184774398804e-02,-8.100000023841857910e-02,-1.080000028014183044e-01
2.134802795000000142e+00,-5.910000205039978027e-01,6.869999766349792480e-01,-7.605000019073486328e+00,3.400000184774398804e-02,-8.100000023841857910e-02,-1.080000028014183044e-01
2.146602684000000316e+00,-1.281000018119812012e+00,3.759999871253967285e-01,-1.038700008392333984e+01,5.299999937415122986e-02,-7.000000029802322388e-02,-1.729999929666519165e-01
2.153553035999999921e+00,-1.281000018119812012e+00,3.759999871253967285e-01,-1.038700008392333984e+01,5.299999937415122986e-02,-7.000000029802322388e-02,-1.729999929666519165e-01
2.165507018000000006e+00,-1.610999941825866699e+00,-1.940000057220458984e-01,-6.019999980926513672e+00,3.999999910593032837e-02,-4.100000113248825073e-02,-2.660000026226043701e-01
2.176159166000000145e+00,-1.610999941825866699e+00,-1.940000057220458984e-01,-6.019999980926513672e+00,3.999999910593032837e-02,-4.100000113248825073e-02,-2.660000026226043701e-01
2.183952332000000052e+00,-9.169999957084655762e-01,2.419999986886978149e-01,-9.458000183105468750e+00,-2.600000053644180298e-02,1.030000001192092896e-01,-2.389999926090240479e-01
2.195677794999999932e+00,5.199999809265136719e-01,-3.379999995231628418e-01,-1.426099967956542969e+01,2.500000037252902985e-02,6.899999827146530151e-02,-7.599999755620956421e-02
2.203915720999999994e+00,5.199999809265136719e-01,-3.379999995231628418e-01,-1.426099967956542969e+01,2.500000037252902985e-02,6.899999827146530151e-02,-7.599999755620956421e-02
2.214854684000000073e+00,5.199999809265136719e-01,-3.379999995231628418e-01,-1.426099967956542969e+01,2.500000037252902985e-02,6.899999827146530151e-02,-7.599999755620956421e-02
2.223544831999999971e+00,-1.514999985694885254e+00,1.270000040531158447e-01,-8.635000228881835938e+00,3.799999877810478210e-02,-3.299999982118606567e-02,-1.759999990463256836e-01
2.234520147000000012e+00,-1.514999985694885254e+00,1.270000040531158447e-01,-8.635000228881835938e+00,3.799999877810478210e-02,-3.299999982118606567e-02,-1.759999990463256836e-01
2.247418869000000097e+00,-9.599999785423278809e-01,-4.909999966621398926e-01,-8.725999832153320312e+00,-6.000000052154064178e-03,1.200000010430812836e-02,-1.759999990463256836e-01
2.253578405999999923e+00,-9.599999785423278809e-01,-4.909999966621398926e-01,-8.725999832153320312e+00,-6.000000052154064178e-03,1.200000010430812836e-02,-1.759999990463256836e-01
2.265959610000000346e+00,-9.599999785423278809e-01,-4.909999966621398926e-01,-8.725999832153320312e+00,-6.000000052154064178e-03,1.200000010430812836e-02,-1.759999990463256836e-01
2.274850314000000040e+00,1.539999961853027344e+00,-5.499999970197677612e-02,-1.246100044250488281e+01,-5.200000107288360596e-02,7.000000029802322388e-02,-1.289999932050704956e-01
2.283843425000000149e+00,1.539999961853027344e+00,-5.499999970197677612e-02,-1.246100044250488281e+01,-5.200000107288360596e-02,7.000000029802322388e-02,-1.289999932050704956e-01
2.294339461999999941e+00,1.539999961853027344e+00,-5.499999970197677612e-02,-1.246100044250488281e+01,-5.200000107288360596e-02,7.000000029802322388e-02,-1.289999932050704956e-01
2.304486146999999985e+00,5.499999970197677612e-02,-1.369999945163726807e-01,-7.882999897003173828e+00,-1.400000043213367462e-02,-1.000000047497451305e-03,1.630000025033950806e-01
2.313549239999999951e+00,7.689999938011169434e-01,-4.189999997615814209e-01,-1.171399974822998047e+01,-2.800000086426734924e-02,3.099999949336051941e-02,9.399999678134918213e-02
2.323587036000000161e+00,7.689999938011169434e-01,-4.189999997615814209e-01,-1.171399974822998047e+01,-2.800000086426734924e-02,3.099999949336051941e-02,9.399999678134918213e-02
2.335284592000000270e+00,7.879999876022338867e-01,-2.899999916553497314e-01,-8.380999565124511719e+00,-2.999999932944774628e-02,5.000000074505805969e-02,5.000000074505805969e-02
2.345982129000000249e+00,7.879999876022338867e-01,-2.899999916553497314e-01,-8.380999565124511719e+00,-2.999999932944774628e-02,5.000000074505805969e-02,5.000000074505805969e-02
2.353993610000000292e+00,7.879999876022338867e-01,-2.899999916553497314e-01,-8.380999565124511719e+00,-2.999999932944774628e-02,5.000000074505805969e-02,5.000000074505805969e-02
2.366122647000000079e+00,7.879999876022338867e-01,-2.899999916553497314e-01,-8.380999565124511719e+00,-2.999999932944774628e-02,5.000000074505805969e-02,5.000000074505805969e-02
2.376452331999999945e+00,1.175999999046325684e+00,6.489999890327453613e-01,-1.166600036621093750e+01,-2.800000086426734924e-02,4.600000008940696716e-02,8.100000023841857910e-02
2.384508869000000253e+00,7.639999985694885254e-01,2.319999933242797852e-01,-1.150800037384033203e+01,3.000000026077032089e-03,-4.199999943375587463e-02,4.800000041723251343e-02
2.394953999000000167e+00,7.639999985694885254e-01,2.319999933242797852e-01,-1.150800037384033203e+01,3.000000026077032089e-03,-4.199999943375587463e-02,4.800000041723251343e-02
2.405468740000000327e+00,3.330000042915344238e-01,1.169999986886978149e-01,-9.362999916076660156e+00,-8.999999612569808960e-03,7.000000216066837311e-03,4.000000189989805222e-03
2.415094054999999962e+00,3.330000042915344238e-01,1.169999986886978149e-01,-9.362999916076660156e+00,-8.999999612569808960e-03,7.000000216066837311e-03,4.000000189989805222e-03
2.423678129000000236e+00,8.889999985694885254e-01,2.600000053644180298e-02,-1.094799995422363281e+01,-1.099999994039535522e-02,-1.099999994039535522e-02,4.999999888241291046e-03
2.436969555000000121e+00,8.889999985694885254e-01,2.600000053644180298e-02,-1.094799995422363281e+01,-1.099999994039535522e-02,-1.099999994039535522e-02,4.999999888241291046e-03
2.444634240000000069e+00,8.690000176429748535e-01,-3.709999918937683105e-01,-9.251999855041503906e+00,-1.099999994039535522e-02,-4.199999943375587463e-02,2.700000070035457611e-02
2.453808962000000093e+00,8.690000176429748535e-01,-3.709999918937683105e-01,-9.251999855041503906e+00,-1.099999994039535522e-02,-4.199999943375587463e-02,2.700000070035457611e-02
2.463795295000000163e+00,-2.262000083923339844e+00,1.519999980926513672e+00,-5.856999874114990234e+00,6.000000052154064178e-03,-7.100000232458114624e-02,1.099999994039535522e-02
2.476029868999999994e+00,-2.262000083923339844e+00,1.519999980926513672e+00,-5.856999874114990234e+00,6.000000052154064178e-03,-7.100000232458114624e-02,1.099999994039535522e-02
2.483872961999999962e+00,-2.908999919891357422e+00,1.174999952316284180e+00,-8.576999664306640625e+00,-1.200000010430812836e-02,-1.539999991655349731e-01,1.000000047497451305e-03
2.493711350999999965e+00,-2.908999919891357422e+00,1.174999952316284180e+00,-8.576999664306640625e+00,-1.200000010430812836e-02,-1.539999991655349731e-01,1.000000047497451305e-03
2.505797814000000123e+00,-2.697999954223632812e+00,-1.243000030517578125e+00,-6.752999782562255859e+00,5.099999904632568359e-02,-1.000000047497451305e-03,-1.280000060796737671e-01
