tempo_s,x_m,y_m,theta_rad
8.85,10.104716,9.917887,0.83722
8.9,10.173006,9.990931,0.80082
8.95,10.243909,10.061441,0.764419
9.0,10.317331,10.129324,0.728018
9.05,10.393175,10.19449,0.691617
9.1,10.47134,10.256852,0.655216
9.15,10.551723,10.316329,0.618815
9.2,10.634217,10.372841,0.582414
9.25,10.718713,10.426313,0.546013
9.3,10.8051,10.476675,0.509612
9.35,10.893262,10.523859,0.473212
9.4,10.983082,10.567804,0.436811
9.45,11.074443,10.608451,0.40041
9.5,11.167222,10.645746,0.364009
9.55,11.261297,10.67964,0.327608
9.6,11.356543,10.710088,0.291207
9.65,11.452834,10.737049,0.254806
9.7,11.550043,10.760488,0.218405
9.75,11.64804,10.780374,0.182004
9.8,11.746696,10.79668,0.145604
9.85,11.84588,10.809385,0.109203
9.9,11.945461,10.818473,0.072802
9.95,12.045306,10.82393,0.036401
10.0,12.145284,10.82575,-0.0
