#timestamp, acel_linear, vel_angular
1.89647,8.6987,0.148933
1.89651,8.6987,0.148933
1.90763,10.5422,0.080181
1.91634,10.5422,0.080181
1.92449,7.91107,0.0519326
1.93614,7.91107,0.0519326
1.94415,11.5157,0.11435
1.95629,11.5157,0.11435
1.96868,8.73681,0.123527
1.97715,9.29294,0.153382
1.99486,9.29294,0.153382
2.02058,9.29294,0.153382
2.03045,10.5905,0.0539444
2.04309,10.5905,0.0539444
2.05223,6.57332,0.0466262
2.05625,6.57332,0.0466262
2.07096,10.0546,0.0792528
2.07735,10.0546,0.0792528
2.08829,11.4171,0.0422019
2.09704,11.4171,0.0422019
2.10436,8.94771,0.0539351
2.1138,8.94771,0.0539351
2.12435,7.6588,0.139216
2.1348,7.6588,0.139216
2.1466,10.4724,0.194005
2.15355,10.4724,0.194005
2.16551,6.23485,0.272097
2.17616,6.23485,0.272097
2.18395,9.50543,0.261545
2.19568,14.2745,0.10565
2.20392,14.2745,0.10565
2.21485,14.2745,0.10565
2.22354,8.76782,0.183055
2.23452,8.76782,0.183055
2.24742,8.79237,0.176511
2.25358,8.79237,0.176511
2.26596,8.79237,0.176511
2.27485,12.5559,0.155708
2.28384,12.5559,0.155708
2.29434,12.5559,0.155708
2.30449,7.88438,0.163603
2.31355,11.7467,0.102864
2.32359,11.7467,0.102864
2.33528,8.42296,0.0768115
2.34598,8.42296,0.0768115
2.35399,8.42296,0.0768115
2.36612,8.42296,0.0768115
2.37645,11.7431,0.0972677
2.38451,11.5357,0.0638514
2.39495,11.5357,0.0638514
2.40547,9.36965,0.012083
2.41509,9.36965,0.012083
2.42368,10.9841,0.0163401
2.43697,10.9841,0.0163401
2.44463,9.30012,0.0511273
2.45381,9.30012,0.0511273
2.4638,6.45999,0.0720972
2.47603,6.45999,0.0720972
2.48387,9.13279,0.15447
2.49371,9.13279,0.15447
2.5058,7.37748,0.13779
2.51571,7.37748,0.13779
2.52376,5.44444,0.410201
2.53477,5.44444,0.410201
